Public_Food_Key,foodName,calories,protein,fat,transFat,carbohydrates,sugar,dietaryFiber,cholesterol,sodium,calcium,iron,vitaminC
F002258,"Cardamom seed, dried, ground","1,236",10.8,6.7,0,34.4,4.4,28,0,18,383,13.97,21
F002893,"Chilli (chili), dried, ground","1,280",13.4,14.3,0,14.9,7.2,34.8,0,"2,867",330,17.3,1
F002963,"Cinnamon, dried, ground","1,004",4,1.2,0,27.5,2.2,53.1,0,10,"1,002",8.32,4
F002970,"Cloves, dried, ground","1,389",6,13,0,31.6,2.4,33.9,0,277,632,11.83,0
F003190,"Coriander seed, dried, ground","1,344",12.4,17.8,0,8.4,2.4,41.9,0,35,709,16.32,21
F003327,"Cumin (cummin) seed, dried, ground","1,782",17.8,22.3,0,33.7,2.2,10.5,0,168,931,66.36,8
F003337,Curry powder,"1,231",14.3,14,0,2.8,2.8,53.2,0,52,525,19.1,1
F003821,"Fenugreek seed, dried","1,080",23,6.4,0,4.2,0.6,47.6,0,67,176,33.53,3
F004210,"Ginger, dried, ground","1,397",9,4.2,0,57.5,3.4,14.1,0,27,114,19.8,1
F005972,Mustard powder,"2,289",29.4,39.5,0,17.2,5,5,0,3,160,7,7
F006118,"Nutmeg, dried, ground","2,090",5.8,36.3,0,28.5,3,20.8,0,16,184,3.04,3
F006281,"Oregano, dried","1,096",9,4.3,0,26.4,4.1,42.5,0,25,"1,597",36.8,2
F006316,"Paprika, dry powder","1,311",14.1,12.9,0,19.1,10.3,34.9,0,68,229,21.14,1
F006618,"Pepper, black, ground","1,156",10.4,3.3,0,38.6,0.6,25.3,0,20,443,9.71,0
F007715,"Rosemary, dried","1,314",4.9,15.2,0,20.4,19.6,42.6,0,50,"1,280",29.25,61
F007726,"Sage, dried","1,320",10.6,12.8,0,20.4,1.7,40.3,0,11,"1,652",28.12,32
F009160,"Thyme, dried, ground","1,182",9.1,7.4,0,26.9,1.7,37,0,55,"1,890",123.6,50
F009335,"Turmeric, dried, ground","1,219",9.7,3.2,0,44.4,3.2,22.7,0,27,168,55,1
F007870,"Salt substitute, potassium chloride",0,0,0,0,0,0,0,0,33,34,0,0
F007878,"Salt, table, iodised",0,0,0,0,0,0,0,0,"38,168",34,0,0
F007879,"Salt, table, non-iodised",0,0,0,0,0,0,0,0,"38,178",34,0,0
F008933,"Stock, dry powder or cube",900,11.3,8.9,5.2,22.5,4.3,0,0,"18,400",71,2.5,0
F009072,"Taco seasoning mix, chilli-based","1,010",5.9,4.1,0,39.7,19.2,9.9,0,"9,350",240,6.3,0
F000247,"Baking powder, dry powder",364,0.8,0.3,,19.8,0,0.4,0,"6,868",6,2.02,0
F000248,"Baking soda (bicarbonate), dry powder",0,0,0,0,0,0,0,0,"27,360",0,0,0
F003250,"Cream of tartar, dry powder",2,0,0,0,0,0,0.2,0,52,8,3.72,0
F004196,"Gelatine, all types","1,449",84.4,0.4,0,0,0,0,0,330,250,2.1,0
F004220,"Gluten, from wheat (vital wheat gluten)","1,507",75.2,0,0,13.2,0,0.6,0,29,142,5.2,0
F008831,"Starch, potato","1,332",0,0.5,0,74.5,0,5.9,0,9,14,0.3,0
F009351,"Vanilla, artificial or imitation",231,0,0,0,14.4,14.4,0,0,3,3,0.05,0
F009350,Vanilla bean extract,"1,203",0.1,0.1,0,12.6,12.6,0,0,9,11,0.12,0
F009606,"Yeast, dry powder","1,126",36.4,5,0,6.3,0,26.9,0,170,18,3.5,0
F000996,"Beer, high alcohol (5% v/v & above)",174,0.5,0,0,2.1,0.2,0,0,4,4,0.01,0
F000994,"Beer, full strength (alcohol 4-4.9% v/v)",152,0.4,0,0,2.3,0,0,0,4,4,0,0
F000995,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",126,0.3,0,0,1,0,0,0,4,3,0.01,0
F001006,"Beer, mid-strength (alcohol 3-3.9% v/v)",128,0.3,0,0,2.2,0,0,0,3,4,0,0
F001004,"Beer, light (alcohol 1-2.9% v/v)",100,0.2,0,0,2.2,0,0,0,3,3,0,0
F000051,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",892,0,0,0,0.1,0.1,0,0,3,1,0.05,0
F000050,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",302,0,0,0,0.3,0.3,0,0,2,1,0.06,0
F002955,"Cider, apple (alcohol approximately 4-5% v/v)",209,0,0,0,5.6,5.6,0,0,3,3,0.02,2
F009572,"Wine, red, cabernet sauvignon",332,0.3,0,0,0.2,0.2,0,0,4,7,0.15,0
F009574,"Wine, red, merlot",330,0.3,0,0,0.4,0.4,0,0,5,7,0.17,0
F009575,"Wine, red, pinot noir",321,0.2,0,0,0.2,0.2,0,0,2,7,0.17,0
F009577,"Wine, red, shiraz",342,0.2,0,0,0.2,0.2,0,0,7,6,0.18,0
F009571,"Wine, red",335,0.2,0,,0.2,0.2,0,0,5,7,0.17,0
F009573,"Wine, red, cooked",120,0.3,0,0,0.2,0.2,0,0,5,8,0,0
F009578,"Wine, red, sparkling",338,0.2,0,0,2,2,0,0,7,6,0.18,0
F009579,"Wine, rose",289,0.2,0,0,0.7,0.7,0,0,5,8,0.08,0
F009583,"Wine, white, sauvignon blanc",296,0.2,0,0,0.1,0.1,0,0,2,8,0.09,0
F009584,"Wine, white, semillon",270,0.2,0,0,0.2,0.2,0,0,6,9,0.21,6
F009582,"Wine, white, chardonnay",310,0.3,0,0,0.3,0.3,0,0,4,7,0.17,0
F009586,"Wine, white, riesling",292,0.2,0,0,0.4,0.4,0,0,7,10,0.1,0
F009581,"Wine, white",301,0.3,0,,0.2,0.2,0,0,4,8,0.16,1
F009580,"Wine, white, cooked",107,0.2,0,0,0.3,0.3,0,0,5,9,0.15,2
F009590,"Wine, white, sparkling",306,0.2,0,0,1,1,0,0,2,7,0.19,0
F009592,"Wine, white, sweet dessert style",497,0.4,0,0,14.7,14.7,0,0,13,15,0.19,0
F009566,"Wine, fortified, port",600,0.2,0,0,12.4,12.4,0,0,15,5,0.19,0
F009567,"Wine, fortified, sherry, dry style (approximately 1% sugars)",435,0.1,0,0,1.2,1.2,0,0,19,5,0.06,0
F009568,"Wine, fortified, sherry, sweet style (approximately 11% sugars)",577,0.2,0,0,11.1,11.1,0,0,18,4,0.1,0
F007493,"Protein powder, whey based, protein >70%, unfortified","1,568",85,2.2,1.5,1.6,1.3,1.8,61,200,420,0.49,0
F009818,"Protein powder, whey based, protein >70%, unfortified, prepared with water",261,14.2,0.4,,0.3,0.2,0.3,10,36,71,0.09,0
F002980,Cocoa powder,"1,335",22.1,15.2,0,10.5,1.5,27.7,0,81,170,30,0
F001029,"Beverage base, chocolate flavour, added vitamins A, B1, B2, C & D, Ca & Fe (Milo)","1,666",12.7,10.4,4.9,61.2,47.3,9.1,10,75,738,18,44
